Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
Dundalk IT,2024,All,All,"Agriculture, forestry, fisheries and veterinary",335
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",335
"Mary Immaculate College, Limerick",2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
Maynooth University,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
MTU Cork,2024,All,All,"Agriculture, forestry, fisheries and veterinary",165
MTU Kerry,2024,All,All,"Agriculture, forestry, fisheries and veterinary",215
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",380
National College of Art and Design,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
National College of Ireland,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
Royal College of Surgeons,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
SETU Carlow,2024,All,All,"Agriculture, forestry, fisheries and veterinary",55
SETU Waterford,2024,All,All,"Agriculture, forestry, fisheries and veterinary",520
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",575
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
TU Dublin Blanchardstown,2024,All,All,"Agriculture, forestry, fisheries and veterinary",15
TU Dublin City,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
TU Dublin Tallaght,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",15
TUS Athlone,2024,All,All,"Agriculture, forestry, fisheries and veterinary",165
TUS Limerick,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
,2024,All,All,"Agriculture, forestry, fisheries and veterinary",165
Trinity College Dublin,2024,All,All,"Agriculture, forestry, fisheries and veterinary",0
